TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
Indigo_NPS_Raw_Data,NPS Type,string,NPS Type
Indigo_NPS_Raw_Data,Start Date Time,string,Start Date Time
Indigo_NPS_Raw_Data,FLTNBR,integer,FLTNBR
Indigo_NPS_Raw_Data,SSR without Description,string,SSR without Description
Indigo_NPS_Raw_Data,DEP,string,DEP
Indigo_NPS_Raw_Data,ARR,string,ARR
Indigo_NPS_Raw_Data,Response Status,string,Response Status
Indigo_NPS_Raw_Data,Pre Booked Meal,string,Pre Booked Meal
Indigo_NPS_Raw_Data,Baggage Weight,integer,Baggage Weight
Indigo_NPS_Raw_Data,Baggage Count,integer,Baggage Count
Indigo_NPS_Raw_Data,CheckIn Type,string,CheckIn Type
Indigo_NPS_Raw_Data,Departure Station,string,Departure Station
Indigo_NPS_Raw_Data,Arrival station,string,Arrival station
Indigo_NPS_Raw_Data,City Pair,string,City Pair
Indigo_NPS_Raw_Data,Title,string,Title
Indigo_NPS_Raw_Data,First Name,string,First Name
Indigo_NPS_Raw_Data,Middle Name,float,Middle Name
Indigo_NPS_Raw_Data,Last Name,string,Last Name
Indigo_NPS_Raw_Data,Source Of Booking,string,Source Of Booking
Indigo_NPS_Raw_Data,Departure Date,string,Departure Date
Indigo_NPS_Raw_Data,Departure Time,string,Departure Time
Indigo_NPS_Raw_Data,Survey Text,string,Survey Text
Indigo_NPS_Raw_Data,Survey Text Hindi,string,Survey Text Hindi
Indigo_NPS_Raw_Data,Departure Station Hindi,string,Departure Station Hindi
Indigo_NPS_Raw_Data,Onboard Meal Purchased,string,Onboard Meal Purchased
Indigo_NPS_Raw_Data,Arrival Station Hindi,string,Arrival Station Hindi
Indigo_NPS_Raw_Data,CPML,string,CPML
Indigo_NPS_Raw_Data,NPS Score,integer,NPS Score
Indigo_NPS_Raw_Data,Booking experience,integer,Booking experience
Indigo_NPS_Raw_Data,Pre-travel information experience,integer,Pre-travel information experience
Indigo_NPS_Raw_Data,Check-in experience,integer,Check-in experience
Indigo_NPS_Raw_Data,Boarding experience,integer,Boarding experience
Indigo_NPS_Raw_Data,On-board experience,float,On-board experience
Indigo_NPS_Raw_Data,Arrival experience,integer,Arrival experience
