TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,COMMENT
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,CREW_ID,TEXT,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,OLD_SL_BALANCE,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,UPDATED_SL_BALANCE,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,OLD_URTI_BALANCE,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,UPDATED_URTI_BALANCE,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,LWD,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,IS_SCHEDULER_UPDATE,BOOLEAN,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,ELIGIBLE_MONTHS,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,LEAVE_YEAR_ID,NUMBER,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,UPDATED_TIME,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,IS_REVOKED,BOOLEAN,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,CREATED_DTM,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,P_CREATED_BY,TEXT,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,P_MODIFIED_BY,TEXT,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,P_IS_CURRENT,BOOLEAN,,
CLMS,CREW_BALANCE_UPDATE_BY_SCHEDULER,ROW_HASH,TEXT,,
CLMS,M_CLMS_CREW,CREW_ID,TEXT,,
CLMS,M_CLMS_CREW,CREW_NAME,TEXT,,
CLMS,M_CLMS_CREW,EMAIL,TEXT,,
CLMS,M_CLMS_CREW,DESIGNATION,TEXT,,
CLMS,M_CLMS_CREW,BASE,TEXT,,
CLMS,M_CLMS_CREW,DOJ,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,DOL,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,ROLE_ID,NUMBER,,
CLMS,M_CLMS_CREW,ACTIVE,BOOLEAN,,
CLMS,M_CLMS_CREW,CREATED_DTM,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,CREATED_BY,TEXT,,
CLMS,M_CLMS_CREW,UPDATED_DTM,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,UPDATED_BY,TEXT,,
CLMS,M_CLMS_CREW,RELEASED_DTM,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,STATUS,TEXT,,
CLMS,M_CLMS_CREW,BATCH_NO,NUMBER,,
CLMS,M_CLMS_CREW,TRG_OPS,TEXT,,
CLMS,M_CLMS_CREW,CATEGORY,TEXT,,
CLMS,M_CLMS_CREW,REASON,TEXT,,
CLMS,M_CLMS_CREW,SUB_REASON,TEXT,,
CLMS,M_CLMS_CREW,REMARKS,TEXT,,
CLMS,M_CLMS_CREW,PASSPORT_NO,TEXT,,
CLMS,M_CLMS_CREW,MEDICAL,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,UNDER_TRG,TEXT,,
CLMS,M_CLMS_CREW,DOR,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,LWD,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,R_REASON,TEXT,,
CLMS,M_CLMS_CREW,P_COMPANY_NAME,TEXT,,
CLMS,M_CLMS_CREW,P_FLY_EXP,FLOAT,,
CLMS,M_CLMS_CREW,P_NON_FLY_EXP,FLOAT,,
CLMS,M_CLMS_CREW,IGO_EXP,FLOAT,,
CLMS,M_CLMS_CREW,TOTAL_EXP,FLOAT,,
CLMS,M_CLMS_CREW,PROMO_CA_TO_SCA,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,PROMO_SCA_TO_LCA,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,PROMO_LCA_TO_CCA,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,HIRE_AS,TEXT,,
CLMS,M_CLMS_CREW,L_TRG_FROM_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,L_TRG_TO_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,M_ANNIVERSARY,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,PASSPORT_DUE_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,MEDICAL_DUE_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,N_CREW_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,REL_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,REL_BATCH_NO,NUMBER,,
CLMS,M_CLMS_CREW,REMOVE_FROM_HC,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,REGION,NUMBER,,
CLMS,M_CLMS_CREW,BA_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,BA_REMARK,TEXT,,
CLMS,M_CLMS_CREW,IS_BASE_MGR,NUMBER,,
CLMS,M_CLMS_CREW,BM_RIGHT,TEXT,,
CLMS,M_CLMS_CREW,CONTACT_NO,TEXT,,
CLMS,M_CLMS_CREW,BA_DATE_TO,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,CHECK_LEAD_EMP_NO,TEXT,,
CLMS,M_CLMS_CREW,CHECK_LEAD_NAME,TEXT,,
CLMS,M_CLMS_CREW,CHECK_LEAD_BASE,TEXT,,
CLMS,M_CLMS_CREW,CORE_LEAD_EMP_NO,TEXT,,
CLMS,M_CLMS_CREW,CORE_LEAD_NAME,TEXT,,
CLMS,M_CLMS_CREW,CORE_LEAD_BASE,TEXT,,
CLMS,M_CLMS_CREW,IS_LEAD_LEAVE_ACTIVE,BOOLEAN,,
CLMS,M_CLMS_CREW,C_CREATE_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,C_UPDATE_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,LEAVE_TYPE_ID,NUMBER,,
CLMS,M_CLMS_CREW,PRMOTIONAL_TRANSFER_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,P_CREATED_BY,TEXT,,
CLMS,M_CLMS_CREW,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,P_MODIFIED_BY,TEXT,,
CLMS,M_CLMS_CREW,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_CREW,P_IS_CURRENT,BOOLEAN,,
CLMS,M_CLMS_CREW,ROW_HASH,TEXT,,
CLMS,M_CLMS_GND_CODE,ID,NUMBER,,
CLMS,M_CLMS_GND_CODE,CODE,TEXT,,
CLMS,M_CLMS_GND_CODE,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_GND_CODE,P_CREATED_BY,TEXT,,
CLMS,M_CLMS_GND_CODE,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_GND_CODE,P_MODIFIED_BY,TEXT,,
CLMS,M_CLMS_GND_CODE,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_GND_CODE,P_IS_CURRENT,BOOLEAN,,
CLMS,M_CLMS_GND_CODE,ROW_HASH,TEXT,,
CLMS,M_CLMS_LEAVE_BALANCE,BALANCE_ID,NUMBER,,
CLMS,M_CLMS_LEAVE_BALANCE,CREW_ID,TEXT,,
CLMS,M_CLMS_LEAVE_BALANCE,LEAVE_TYPE_ID,NUMBER,,
CLMS,M_CLMS_LEAVE_BALANCE,BALANCE,NUMBER,,
CLMS,M_CLMS_LEAVE_BALANCE,START_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,END_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,LAST_TMU_BALANCE,NUMBER,,
CLMS,M_CLMS_LEAVE_BALANCE,LAST_START_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,LAST_END_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,LEAVE_YEAR_ID,NUMBER,,
CLMS,M_CLMS_LEAVE_BALANCE,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,P_CREATED_BY,TEXT,,
CLMS,M_CLMS_LEAVE_BALANCE,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,P_MODIFIED_BY,TEXT,,
CLMS,M_CLMS_LEAVE_BALANCE,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_CLMS_LEAVE_BALANCE,P_IS_CURRENT,BOOLEAN,,
CLMS,M_CLMS_LEAVE_BALANCE,ROW_HASH,TEXT,,
CLMS,M_DESIGNATIONS,DES_ID,NUMBER,,
CLMS,M_DESIGNATIONS,DESIGNATION,TEXT,,
CLMS,M_DESIGNATIONS,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_DESIGNATIONS,P_CREATED_BY,TEXT,,
CLMS,M_DESIGNATIONS,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_DESIGNATIONS,P_MODIFIED_BY,TEXT,,
CLMS,M_DESIGNATIONS,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_DESIGNATIONS,P_IS_CURRENT,BOOLEAN,,
CLMS,M_DESIGNATIONS,ROW_HASH,TEXT,,
CLMS,M_LMS_LEAVE_TYPE,LEAVE_TYPE_ID,NUMBER,,
CLMS,M_LMS_LEAVE_TYPE,LEAVE_TYPE,TEXT,,
CLMS,M_LMS_LEAVE_TYPE,DESCRIPTION,TEXT,,
CLMS,M_LMS_LEAVE_TYPE,ORDER_RECORDS,NUMBER,,
CLMS,M_LMS_LEAVE_TYPE,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_LMS_LEAVE_TYPE,P_CREATED_BY,TEXT,,
CLMS,M_LMS_LEAVE_TYPE,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_LMS_LEAVE_TYPE,P_MODIFIED_BY,TEXT,,
CLMS,M_LMS_LEAVE_TYPE,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_LMS_LEAVE_TYPE,P_IS_CURRENT,BOOLEAN,,
CLMS,M_LMS_LEAVE_TYPE,ROW_HASH,TEXT,,
CLMS,M_LMS_STATUS_TYPE,STATUS_TYPE_ID,NUMBER,,
CLMS,M_LMS_STATUS_TYPE,STATUS_TYPE,TEXT,,
CLMS,M_LMS_STATUS_TYPE,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_LMS_STATUS_TYPE,P_CREATED_BY,TEXT,,
CLMS,M_LMS_STATUS_TYPE,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_LMS_STATUS_TYPE,P_MODIFIED_BY,TEXT,,
CLMS,M_LMS_STATUS_TYPE,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_LMS_STATUS_TYPE,P_IS_CURRENT,BOOLEAN,,
CLMS,M_LMS_STATUS_TYPE,ROW_HASH,TEXT,,
CLMS,M_UMS_STATION,STATION_ID,NUMBER,,
CLMS,M_UMS_STATION,STATION_CODE,TEXT,,
CLMS,M_UMS_STATION,STATION_NAME,TEXT,,
CLMS,M_UMS_STATION,IATA_CODE,TEXT,,
CLMS,M_UMS_STATION,STATE_ID,NUMBER,,
CLMS,M_UMS_STATION,EMAIL,TEXT,,
CLMS,M_UMS_STATION,ACTIVE,BOOLEAN,,
CLMS,M_UMS_STATION,CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_UMS_STATION,CREATED_BY,TEXT,,
CLMS,M_UMS_STATION,UPDATE_DT,TIMESTAMP_NTZ,,
CLMS,M_UMS_STATION,UPDATE_BY,TEXT,,
CLMS,M_UMS_STATION,BASE_STATION,NUMBER,,
CLMS,M_UMS_STATION,REGION,NUMBER,,
CLMS,M_UMS_STATION,LOAD_DATE,TIMESTAMP_NTZ,,
CLMS,M_UMS_STATION,P_CREATED_BY,TEXT,,
CLMS,M_UMS_STATION,P_CREATED_DT,TIMESTAMP_NTZ,,
CLMS,M_UMS_STATION,P_MODIFIED_BY,TEXT,,
CLMS,M_UMS_STATION,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CLMS,M_UMS_STATION,P_IS_CURRENT,BOOLEAN,,
