TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,COMMENT
CREWPORTAL,DOCUMENT,DOCUMENT_ID,NUMBER,,
CREWPORTAL,DOCUMENT,DOC_NAME,TEXT,,
CREWPORTAL,DOCUMENT,LOAD_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT,P_CREATED_BY,TEXT,,
CREWPORTAL,DOCUMENT,P_CREATED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT,P_MODIFIED_BY,TEXT,,
CREWPORTAL,DOCUMENT,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT,P_IS_CURRENT,BOOLEAN,,
CREWPORTAL,DOCUMENT,ROW_HASH,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,DOC_DETAIL_ID,NUMBER,,
CREWPORTAL,DOCUMENT_DETAILS,DOCUMENT_ID,NUMBER,,
CREWPORTAL,DOCUMENT_DETAILS,CHECK_LIST_NAME,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,AIRCRAFT,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,ADDED_BY,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,FROM_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT_DETAILS,TO_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT_DETAILS,UPLOADED_FILE_PATH,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,LOAD_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT_DETAILS,P_CREATED_BY,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,P_CREATED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT_DETAILS,P_MODIFIED_BY,TEXT,,
CREWPORTAL,DOCUMENT_DETAILS,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,DOCUMENT_DETAILS,P_IS_CURRENT,BOOLEAN,,
CREWPORTAL,DOCUMENT_DETAILS,ROW_HASH,TEXT,,
CREWPORTAL,M_AIRCRAFT,AIRCRAFT_ID,NUMBER,,
CREWPORTAL,M_AIRCRAFT,AIRCRAFT_TYPE,TEXT,,
CREWPORTAL,M_AIRCRAFT,AIRCRAFT_DESC,TEXT,,
CREWPORTAL,M_AIRCRAFT,CREATED_BY,TEXT,,
CREWPORTAL,M_AIRCRAFT,CREATED_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRCRAFT,MODIFIED_BY,TEXT,,
CREWPORTAL,M_AIRCRAFT,MODIFIED_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRCRAFT,ACTIVE,BOOLEAN,,
CREWPORTAL,M_AIRCRAFT,COPS_AIRCRAFT_TYPE_ID,NUMBER,,
CREWPORTAL,M_AIRCRAFT,SUB_FLEET,TEXT,,
CREWPORTAL,M_AIRCRAFT,DISPLAY_AIRCRAFT_TYPE,TEXT,,
CREWPORTAL,M_AIRCRAFT,LOAD_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRCRAFT,P_CREATED_BY,TEXT,,
CREWPORTAL,M_AIRCRAFT,P_CREATED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRCRAFT,P_MODIFIED_BY,TEXT,,
CREWPORTAL,M_AIRCRAFT,P_MODIFIED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRCRAFT,P_IS_CURRENT,BOOLEAN,,
CREWPORTAL,M_AIRCRAFT,ROW_HASH,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,AIRPORT_ID,NUMBER,,
CREWPORTAL,M_AIRPORT_NAMES,AIRPORT_CODE,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,AIRPORT_NAME,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,IS_ACTIVE,BOOLEAN,,
CREWPORTAL,M_AIRPORT_NAMES,CREATED_ON,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRPORT_NAMES,UPDATED_ON,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRPORT_NAMES,CITY_NAME,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,CITY_TYPE,NUMBER,,
CREWPORTAL,M_AIRPORT_NAMES,IS_DEFENCE_STATION,BOOLEAN,,
CREWPORTAL,M_AIRPORT_NAMES,IS_LIFE_VEST,BOOLEAN,,
CREWPORTAL,M_AIRPORT_NAMES,LOAD_DATE,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRPORT_NAMES,P_CREATED_BY,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,P_CREATED_DT,TIMESTAMP_NTZ,,
CREWPORTAL,M_AIRPORT_NAMES,P_MODIFIED_BY,TEXT,,
CREWPORTAL,M_AIRPORT_NAMES,P_MODIFIED_DT,TIMESTAMP_NTZ,,
