TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,COMMENT
PEP,EMPLOYEE_INFO,EMPLOYEE_ID,NUMBER,,
PEP,EMPLOYEE_INFO,IGA,TEXT,,
PEP,EMPLOYEE_INFO,EMPLOYEE_NAME,TEXT,,
PEP,EMPLOYEE_INFO,BASE,TEXT,,
PEP,EMPLOYEE_INFO,DESIGNATION,TEXT,,
PEP,EMPLOYEE_INFO,EMAIL_ID,TEXT,,
PEP,EMPLOYEE_INFO,EG_DESCRIPTION,TEXT,,
PEP,EMPLOYEE_INFO,ACTIVE,BOOLEAN,,
PEP,EMPLOYEE_INFO,CREATED_DATE,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,AS_DEGN,TEXT,,
PEP,EMPLOYEE_INFO,OP_DATE,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,DO_REL,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,UPDATED_ON,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,LOAD_DATE,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,P_CREATED_BY,TEXT,,
PEP,EMPLOYEE_INFO,P_CREATED_DT,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,P_MODIFIED_BY,TEXT,,
PEP,EMPLOYEE_INFO,P_MODIFIED_DT,TIMESTAMP_NTZ,,
PEP,EMPLOYEE_INFO,P_IS_CURRENT,BOOLEAN,,
PEP,EMPLOYEE_INFO,ROW_HASH,TEXT,,
PEP,MENTOR_FEEDBACK,ID,NUMBER,,
PEP,MENTOR_FEEDBACK,PEP_SCHDULER_ID,NUMBER,,
PEP,MENTOR_FEEDBACK,PEP_ID,TEXT,,
PEP,MENTOR_FEEDBACK,IGA,TEXT,,
PEP,MENTOR_FEEDBACK,PEP_NO,TEXT,,
PEP,MENTOR_FEEDBACK,MARK,TEXT,,
